Data,Temp. Max. (C),Variation,Avg.3D,Avg.7D,Weekday,Month
2022-05-18 23:00:00,10.8,-1.200000000000001,12.266666666666666,12.814285714285715,2,5
2022-05-19 00:00:00,10.5,-0.29999999999999893,11.4,12.571428571428571,3,5
2022-05-19 01:00:00,10.2,-0.3000000000000007,10.799999999999997,12.242857142857144,3,5
2022-05-19 02:00:00,9.6,-0.3000000000000007,10.499999999999998,11.742857142857144,3,5
2022-05-19 03:00:00,9.4,-0.5999999999999996,10.1,11.128571428571428,3,5
2022-05-19 04:00:00,9.2,-0.1999999999999993,9.733333333333333,10.557142857142859,3,5
2022-05-19 05:00:00,9.0,-0.20000000000000107,9.399999999999999,10.114285714285714,3,5
2022-05-19 06:00:00,8.8,-0.1999999999999993,9.199999999999998,9.814285714285715,3,5
2022-05-19 07:00:00,8.7,-0.1999999999999993,8.999999999999998,9.528571428571428,3,5
2022-05-19 08:00:00,8.7,-0.10000000000000142,8.833333333333332,9.271428571428572,3,5
2022-05-19 09:00:00,8.6,0.0,8.733333333333333,9.057142857142857,3,5
2022-05-19 10:00:00,8.8,-0.09999999999999964,8.666666666666664,8.914285714285715,3,5
2022-05-19 11:00:00,9.5,0.20000000000000107,8.699999999999998,8.828571428571427,3,5
2022-05-19 12:00:00,10.4,0.6999999999999993,8.966666666666667,8.87142857142857,3,5
2022-05-19 13:00:00,12.1,0.9000000000000004,9.566666666666665,9.071428571428571,3,5
2022-05-19 14:00:00,13.2,1.6999999999999993,10.666666666666666,9.542857142857143,3,5
2022-05-19 15:00:00,13.5,1.0999999999999996,11.899999999999999,10.185714285714285,3,5
2022-05-19 16:00:00,14.2,0.3000000000000007,12.933333333333332,10.87142857142857,3,5
2022-05-19 17:00:00,14.6,0.6999999999999993,13.633333333333331,11.671428571428573,3,5
2022-05-19 18:00:00,14.1,0.40000000000000036,14.1,12.5,3,5
2022-05-19 19:00:00,13.7,-0.5,14.299999999999999,13.157142857142857,3,5
2022-05-19 20:00:00,13.7,-0.40000000000000036,14.133333333333331,13.62857142857143,3,5
2022-05-19 21:00:00,13.0,0.0,13.83333333333333,13.857142857142856,3,5
2022-05-19 22:00:00,12.0,-0.6999999999999993,13.466666666666663,13.828571428571427,3,5
2022-05-19 23:00:00,11.3,-1.0,12.899999999999999,13.614285714285714,3,5
2022-05-20 00:00:00,10.1,-0.6999999999999993,12.1,13.200000000000001,4,5
2022-05-20 01:00:00,10.3,-1.200000000000001,11.133333333333331,12.557142857142859,4,5
2022-05-20 02:00:00,10.0,0.20000000000000107,10.566666666666665,12.014285714285714,4,5
2022-05-20 03:00:00,9.3,-0.3000000000000007,10.133333333333333,11.485714285714284,4,5
2022-05-20 04:00:00,8.6,-0.6999999999999993,9.866666666666665,10.857142857142858,4,5
2022-05-20 05:00:00,8.5,-0.7000000000000011,9.299999999999999,10.228571428571428,4,5
2022-05-20 06:00:00,8.2,-0.09999999999999964,8.799999999999999,9.728571428571428,4,5
